Location;Participants;Cost
Morningside Heights, Manhattan;Black Panther, Defenders, Pantha, Plastic Man, Sub-Mariner, Vixen vs. Booster Gold, Zatanna;$11000
Koreatown, Manhattan;Incredible Hulk vs. Black Canary;$0
Flatbush, Brooklyn;Animal Man, Defenders, Dollar Bill vs. Ridder;$13000
SoHo, Manhattan;Avengers, Guardians of the Galaxy vs. Ant-Man, Atom, Batwoman, Calendar Man, Dollar Bill, Elektra, Ghost Rider, Oracle, Owlwoman, Sub-Mariner, Vixen, Zatanna, Zatara;$36000
SoHo, Manhattan;Batwoman vs. Batgirl, Bruce Wayne, Captain Metropolis, Constantin, Spider-Man, Vigilante;$14000
Tribeca, Manhattan;Krypta, Wasp vs. Karate Kid, Wolverine;$4000
Park Slope, Brooklyn;Atom, Bruce Wayne, Captain America, Doctor Strange, Incredible Hulk, Judomaster, Kamandi, Kate Spencer, Starfire, Superman, Zatanna vs. Animal Man, Asterix, Atom Smasher, Green Lantern, Shadow, Sub-Mariner;$8000
Crown Heights, Brooklyn;Doctor Strange, Ozymandias vs. Booster Gold, Elektra, Ghost Rider, Green Arrow, Hellboy, Krypta, Orin, Plastic Man, Rocketeer, S.T.R.I.P.E., Sub-Mariner, Vigilante, Zatanna;$9000
Little Italy, Manhattan;Agent Liberty, Animal Man, Arsenal, Aztec, Daredevil, Doctor Strange, Ghost Rider, Incredible Hulk, Spider-Man, Teenage Mutant Ninja Turtles, Zatanna vs. Captain Marvel, Catwoman, Green Lantern, Mr. Terrific, Plastic Man, Superman;$5000
Belmont, Bronx;Black Panther, Bruce Wayne, Robin vs. Atom, Black Canary, Damian Wayne, Wasp;$6000
Long Island City, Queens;Atom, Zatara vs. Ant-Man, Avengers, Aztec, Incredible Hulk, Shining Knight, Zatanna;$11000
Brooklyn Heights, Brooklyn;Animal Man, Defenders vs. Calendar Man, Daredevil, Kate Spencer, Watchmen;$2000
Midtown, Manhattan;Flash, Iron Fist, Raven vs. Ant-Man, Green Lantern, Judomaster;$3000
Nolita, Manhattan;Batwoman, Kid Flash, Marvelman, Owlman, Wasp vs. Iron Fist, Iron Man, John Stewart, Shadow, Supergirl, Teenage Mutant Ninja Turtles, Vixen;$12000
Morningside Heights, Manhattan;Aquaman, Calendar Man, Huntress, Iron Fist, Kid Flash, Rocketeer, Terry McGinnis, Zatanna vs. Vigilante;$8000
Flatbush, Brooklyn;Bruce Wayne, Cyborg, Hawkgirl, Incredible Hulk, Kate Spencer, Zatanna vs. Agent Liberty, Firestorm, Hawkeye;$12000
East Village, Manhattan;Bruce Wayne vs. Agent Liberty, Aquaman, Avengers, Black Panther, Daredevil, Doctor Strange, Iron Man, Kate Spencer, Lagoon Boy, Raven, Ray;$4000
Nolita, Manhattan;Asterix, Atom Smasher, Batman, Daredevil, Rocket, Teenage Mutant Ninja Turtles, Watchmen, Zatanna vs. Avengers, Black Canary, Constantin, Guardians of the Galaxy, Kid Flash;$0
Meatpacking District, Manhattan;Hank Hall, Mr. Terrific vs. Batwoman, Booster Gold, Defenders, Ghost Rider, Iron Fist, Kate Spencer, Orin, Plastic Man, Raven, Ridder, Rocketeer, S.T.R.I.P.E., Wasp, Zatanna;$4000
SoHo, Manhattan;Green Lantern, Hal Jordan, Hawkeye, Jericho, Plastic Man, Robin, Shadow, Wasp vs. Doc Savage, Terry McGinnis, Wolverine;$15000
Tribeca, Manhattan;Atom, Captain America, Ridder vs. Hawkeye;$2000
Chelsea, Manhattan;Ghost Rider vs. Captain America, Impulse, Xera;$6000
SoHo, Manhattan;Superman vs. Agent Liberty, Captain Marvel, Conan the Barbarian, Iron Man, Lagoon Boy, Marvelman, Miss Martian, Orin, Power Girl, Supergirl, Wasp;$15000
Carroll Gardens, Brooklyn;Ant-Man, Bruce Wayne, Guardians of the Galaxy, Orin, Ozymandias, Power Girl, Star-Spangled Kid, Supergirl, Wasp vs. Hawkeye;$18000
Brooklyn Heights, Brooklyn;Avengers vs. Supergirl;$2000
Coney Island, Brooklyn;Starfire vs. Elektra, Lagoon Boy, Teenage Mutant Ninja Turtles;$0
Upper West Side, Manhattan;Aquaman, Rocketeer, Zatanna vs. Kate Spencer, V;$0
Bedford Park, Bronx;Dick Grayson, Rocketeer vs. Ghost Rider, Raven;$0
Crown Heights, Brooklyn;Avengers, Owlwoman, Supergirl vs. Booster Gold;$6000
Union Square, Manhattan;Calendar Man vs. Ant-Man, Asterix, Batman, Black Panther, Daredevil, Elektra, Incredible Hulk, Iron Man, Mas y Menos, Orin, Shadow, Sub-Mariner, Superman, Vixen, Wasp, Zatanna, Zatara;$59000
Gramercy Park, Manhattan;Aquaman vs. S.T.R.I.P.E.;$0
Nolita, Manhattan;Batgirl, Damian Wayne, Dick Grayson, Karate Kid, Kid Flash vs. Captain America, Spider-Man;$7000
Upper East Side, Manhattan;Black Panther vs. Atom, Batman, Ghost Rider, Hawkeye, Kate Spencer, Mas y Menos, Nightwing, Robin, Rocketeer, Stephanie Brown, Zatanna;$1000
East Village, Manhattan;Firestorm vs. Poison Ivy;$3000
Long Island City, Queens;Black Canary, Defenders vs. Batman, Black Panther, Bruce Wayne, Captain Marvel, Kid Flash, Plastic Man, Sub-Mariner;$10000
Nolita, Manhattan;Green Lantern, Rocket Red vs. Rocketeer, Zatara;$5000
Koreatown, Manhattan;Batwoman, Captain Marvel, Orin vs. Guardians of the Galaxy;$0
Upper East Side, Manhattan;Black Panther, Iron Man, Mas y Menos, Robin, Thor, Watchmen vs. Defenders, Incredible Hulk, Karate Kid, Supergirl, Superman;$19000
Park Slope, Brooklyn;Orin, Plastic Man vs. Batman, Pantha;$1000
Nolita, Manhattan;Beast Boy, Black Canary vs. Batman, Batwoman, Doctor Strange, Iron Man, Vixen, X-Men, Zatanna;$4000
Nolita, Manhattan;Batwoman, Poison Ivy, Rocket, Wasp vs. Beast Boy, Huntress, Rocketeer;$4000
Upper East Side, Manhattan;Impulse vs. Odin, Tiger;$2000
Brooklyn Heights, Brooklyn;Batgirl, Hal Jordan vs. Batwoman, Impulse, Orin, Sub-Mariner;$3000
Greenpoint, Brooklyn;Iron Fist vs. Atom;$0
Koreatown, Manhattan;Catwoman, Hal Jordan, Mr. Terrific, Supergirl, Superman, Tiger vs. Guardians of the Galaxy, Marvelman;$3000
Morningside Heights, Manhattan;Black Panther, Incredible Hulk vs. Ghost Rider;$3000
Sunset Park, Brooklyn;Wasp vs. Captain Marvel, Lagoon Boy, Mr. Terrific, Raven;$11000
East Harlem, Manhattan;Captain Marvel vs. Avengers, Ozymandias, Shadow, Teenage Mutant Ninja Turtles;$9000
Morningside Heights, Manhattan;Batwoman, Catwoman, Doctor Strange, Elektra, Green Arrow, Karate Kid, Lagoon Boy vs. Animal Man, Black Canary, Gangbuster, Iron Fist, Plastic Man, Wonder Girl;$8000
Midtown, Manhattan;Impulse vs. Wolverine;$0
Lenox Hill, Manhattan;Ridder, Shining Knight vs. Gypsy, Miss Martian;$0
Coney Island, Brooklyn;Avengers vs. Owlman, Teenage Mutant Ninja Turtles;$3000
SoHo, Manhattan;Black Canary, Defenders, Lagoon Boy, Ozymandias, Raven, Stephanie Brown vs. Avengers, Bruce Wayne, Kid Flash;$4000
Long Island City, Queens;Arsenal, Hawkeye vs. Captain America, Defenders, Doc Savage, Wonder Woman;$15000
Chinatown, Manhattan;Batgirl, Wasp vs. Lagoon Boy;$1000
Castle Hill, Bronx;Plastic Man, Stephanie Brown vs. Arsenal, Avengers, Black Canary, Bruce Wayne, Defenders, Gangbuster, Green Arrow, Jericho, Krypta, S.T.R.I.P.E., Speedy, Spider-Man, V;$12000
Upper East Side, Manhattan;Thor vs. Daredevil, Iron Fist, Kamandi, Katana, Kid Flash, Mary Marvel, Ridder, Wolverine;$14000
Gramercy Park, Manhattan;Batman, Conan the Barbarian, Guardians of the Galaxy, Raven, Stephanie Brown, Wolverine, X-Men vs. Aquaman, Atom, Captain America, Kate Spencer;$16000
SoHo, Manhattan;Oracle vs. Doctor Strange;$0
Nolita, Manhattan;Calendar Man, Catwoman, Cyborg, Hal Jordan, Incredible Hulk, Iron Man, Nightwing, Ridder, Rocketeer, Starfire vs. Superman;$1000
Morningside Heights, Manhattan;Elektra vs. Batwoman, Fire, Ghost Rider, Green Arrow, Incredible Hulk, Poison Ivy, V, Vigilante;$5000
Roosevelt Island, Manhattan;Mary Marvel, Mr. Terrific vs. Aquaman, Asterix, Avengers, Captain America, Conan the Barbarian, Green Lantern, Iron Man, Marvelman, Nightwing, Tim Drake, Zatara;$4000
Nolita, Manhattan;Agent Liberty, Ant-Man, Batman, Black Canary, Orin vs. Black Panther, Guardians of the Galaxy, Judomaster, Supergirl;$6000
Castle Hill, Bronx;Ant-Man, Avengers, Azrael, Black Canary, Dick Grayson, Guardians of the Galaxy, Karate Kid, Kate Spencer, Owlman, Owlwoman, Ridder, Robin, Wasp vs. Hawkeye, Kamandi;$16000
Lenox Hill, Manhattan;Rocketeer vs. Ant-Man;$3000
Long Island City, Queens;Aquaman, Aztec, Defenders, Ridder, Supergirl vs. Catwoman, Marvelman;$5000
Co-Op City, Bronx;Judomaster vs. Catwoman, Raven;$2000
Brooklyn Heights, Brooklyn;Elektra, Green Arrow, Watchmen vs. Conan the Barbarian;$5000
Belmont, Bronx;Marvelman, Zatanna vs. Elektra;$7000
Long Island City, Queens;Shadow vs. Asterix;$3000
Flushing, Queens;Asterix, Green Arrow, Kamandi, Karate Kid, Owlman, Raven, Robin, Solomon Grundy, Star-Spangled Kid, Superman vs. Batman, Catwoman, Conan the Barbarian, Defenders, Elektra, Green Lantern, Incredible Hulk, Martian Manhunter, Marvelman, Poison Ivy, Terry McGinnis, Wasp, Zatanna;$2000
SoHo, Manhattan;Defenders, Ozymandias vs. Asterix, Elektra, Jonah Hex, Orin, Silk Spectre, V;$0
Greenpoint, Brooklyn;Superman vs. Ant-Man, Black Panther, Cassandra Cain, Hawkeye, Hawkgirl, Zatanna;$2000
Park Slope, Brooklyn;Adam Strange, Bruce Wayne vs. Booster Gold, Conan the Barbarian, Nightwing, Star-Spangled Kid, Supergirl, Vigilante;$12000
Washington Heights, Manhattan;Aquaman, Teenage Mutant Ninja Turtles vs. Guardians of the Galaxy;$1000
East Village, Manhattan;Black Canary, Doc Savage, Elektra, Ghost Rider, Kate Spencer, Nightwing, Owlwoman, Shining Knight, Wasp vs. Ant-Man;$3000
Bushwick, Brooklyn;Black Panther, Sub-Mariner vs. Batman, Black Canary, Bruce Wayne, Kate Spencer, Marvelman, Ray, Spider-Man, Teenage Mutant Ninja Turtles;$0
Upper East Side, Manhattan;Ozymandias, Rocketeer, Starfire vs. Kid Flash;$0
Lower East Side, Manhattan;Atom, Defenders, Starfire, V vs. Ant-Man, Hawkeye, Ridder;$9000
Little Italy, Manhattan;Blue Beetle, Hawkeye, Kamandi, Owlwoman vs. Aquaman, Atom, Black Canary, Booster Gold, Conan the Barbarian, Fire, Flash, Green Lantern, Incredible Hulk, Kid Flash, Marvelman, Miss Martian, Ozymandias, Poison Ivy, Rocketeer, Shadow, Tim Drake;$4000
Alphabet City, Manhattan;Black Canary, Poison Ivy, X-Men vs. Conan the Barbarian, Daredevil, Elektra, Kate Spencer, Vixen;$32000
Midtown, Manhattan;Aquaman, Batman, Hal Jordan, Hawkgirl, Impulse, Lagoon Boy, Poison Ivy vs. Jonah Hex;$7000
Nolita, Manhattan;Batwoman, Booster Gold, Spider-Man vs. Captain Marvel, Kid Flash;$1000
Koreatown, Manhattan;Tim Drake vs. Incredible Hulk;$2000
Flatbush, Brooklyn;Animal Man, Doc Savage, Fire, Incredible Hulk, Katana, Owlwoman, Superman, Watchmen, Wildcat, Wonder Woman vs. Ant-Man, Asterix, Elektra, Karate Kid, Plastic Man, Robin, Shining Knight, Thor, Zatanna;$23000
Roosevelt Island, Manhattan;Asterix, Karate Kid vs. Black Canary, Supergirl;$2000
Brooklyn Heights, Brooklyn;Avengers, Batgirl, X-Men vs. Plastic Man;$2000
Lower East Side, Manhattan;Owlman vs. Black Panther, Lagoon Boy, Supergirl;$3000
Lenox Hill, Manhattan;Bruce Wayne, Guardians of the Galaxy vs. Booster Gold, Ghost Rider, Karate Kid, Kate Spencer, Starfire, Teenage Mutant Ninja Turtles, Wasp;$20000
East Village, Manhattan;Ant-Man, Aquaman, Arsenal, Asterix, Avengers, Booster Gold, Bruce Wayne, Calendar Man, Defenders, Doc Savage, Doctor Strange, Elektra, Green Arrow, Hellboy, Huntress, Impulse, Karate Kid, Kate Spencer, Marvelman, Robin, Rocketeer, Speedy, Star-Spangled Kid, Superman, Teenage Mutant Ninja Turtles, Tiger, Vigilante, Wasp vs. Captain America, Captain Marvel, Orin;$25000
East Village, Manhattan;Atom, Black Panther, Damian Wayne, Fire, Hawkgirl, Iron Man, Owlman, Plastic Man vs. Cyborg, Superman;$32000
East Village, Manhattan;Black Canary vs. Iron Fist;$0
Midtown, Manhattan;Owlman, Wasp vs. Incredible Hulk, Robin;$8000
Meatpacking District, Manhattan;Iron Fist vs. Ant-Man, Black Panther, Captain America, Doc Savage, Jonah Hex, Raven, Vixen, Wolverine;$0
Midtown, Manhattan;Incredible Hulk vs. Batgirl, Booster Gold, Gangbuster, Sub-Mariner, X-Men, Zatara;$3000
Downtown Brooklyn, Brooklyn;Avengers, Black Canary, Green Arrow, Mary Marvel vs. Asterix, Dick Grayson, Hal Jordan, Lagoon Boy, Marvelman, Rocketeer, Supergirl;$4000
Nolita, Manhattan;Asterix, Hank Hall, Rocketeer, Speedy vs. Avengers, Bruce Wayne, Captain America, Green Lantern, Hawkeye, Sub-Mariner, Superman, Teenage Mutant Ninja Turtles, Thor;$19000
Coney Island, Brooklyn;Black Canary, Kate Spencer, Zatanna vs. Atom, Bronze Tiger, Captain Marvel, Elektra, Gypsy, Iron Fist, Plastic Man, Raven, Superman;$2000
Harlem, Manhattan;Animal Man, Mas y Menos, Phantom Lady, Rocketeer, Shadow vs. Ant-Man, Captain America, Fire, Green Lantern, Hellboy, Karate Kid;$8000
Sunset Park, Brooklyn;Zatara vs. Jonah Hex, Zatanna;$1000
Coney Island, Brooklyn;Agent Liberty, Tiger, Wasp vs. Asterix, Black Canary, Hal Jordan, Huntress, Nite Owl II, Raven, Rocketeer;$0
Morningside Heights, Manhattan;Batman vs. Conan the Barbarian;$1000
Castle Hill, Bronx;Owlman vs. Conan the Barbarian, Huntress, Nightwing, Superman;$4000
Meatpacking District, Manhattan;Teenage Mutant Ninja Turtles vs. Atom;$3000
Roosevelt Island, Manhattan;Marvelman, Robin, Starfire, Wolverine vs. Aquaman, Green Lantern, Hawkeye, Kate Spencer, Teenage Mutant Ninja Turtles, Zatara;$17000
Lenox Hill, Manhattan;V, Watchmen, X-Men vs. Kate Spencer, Poison Ivy;$0
Union Square, Manhattan;Robin vs. Avengers, Batman, Batwoman, Black Canary, Guy Gardner, Owlman, Poison Ivy, S.T.R.I.P.E., Sub-Mariner;$31000
Tribeca, Manhattan;Artemis, Batman, Green Arrow vs. Avengers, Booster Gold, Ghost Rider, Judomaster;$9000
Alphabet City, Manhattan;Wasp vs. Starfire, Superman;$1000
Brooklyn Heights, Brooklyn;Batgirl, Black Panther, Captain America, Cyborg, Owlman vs. Kate Spencer, Orin, Zatanna;$1000
Morningside Heights, Manhattan;Avengers, Raven vs. Captain Marvel;$2000
Bushwick, Brooklyn;Bruce Wayne, Ghost Rider, Guardians of the Galaxy, Starfire vs. Atom;$9000
East Village, Manhattan;Black Canary, Oracle vs. Aquaman, Captain America, Green Lantern, Marvelman, Orin, Plastic Man;$7000
Koreatown, Manhattan;Blue Beetle, Bruce Wayne, Incredible Hulk, Sub-Mariner vs. Elektra, Gypsy, Kate Spencer, Owlman, Superman;$23000
SoHo, Manhattan;Plastic Man vs. Doctor Strange;$1000
East Harlem, Manhattan;Conan the Barbarian, Dick Grayson, Iron Man vs. Ghost Rider, Lagoon Boy;$4000
Jackson Heights, Queens;Ant-Man, Guardians of the Galaxy, Nightwing, Oracle, Starfire vs. Jericho, Wasp;$5000
Coney Island, Brooklyn;Terry McGinnis vs. Elektra, Guardians of the Galaxy, Poison Ivy, Zatara;$9000
SoHo, Manhattan;Batman, Black Panther, Kid Flash, Teenage Mutant Ninja Turtles, Zatanna vs. Aztec, Captain Metropolis, Green Arrow;$4000
East Village, Manhattan;Agent Liberty, Batwoman vs. Captain America;$0
Gramercy Park, Manhattan;Asterix, Batgirl, Batman, Black Panther, Dollar Bill, Guardians of the Galaxy, Martian Manhunter, Rocketeer, Thor vs. Captain Marvel, Poison Ivy, Wasp, Wonder Woman;$10000
Castle Hill, Bronx;Captain America, Ozymandias vs. Asterix, Captain Marvel, Conan the Barbarian, Hal Jordan;$7000
Nolita, Manhattan;Lagoon Boy vs. Owlwoman;$0
East Village, Manhattan;Flash, Lagoon Boy vs. Artemis, Atom, Batman, Batwoman, Black Canary, Black Panther, Captain America, Daredevil, Doctor Strange, Ghost Rider, Huntress, Kate Spencer, Ozymandias, Plastic Man, Power Girl, Raven, Rocketeer, Starfire, Teenage Mutant Ninja Turtles, Thor, V, Wasp, Zatara;$20000
Washington Heights, Manhattan;Avengers, Conan the Barbarian vs. Atom, Gypsy;$0
Flatiron District, Manhattan;Black Panther, Captain America, Ghost Rider, Marvelman, Supergirl vs. Impulse;$3000
Nolita, Manhattan;Wasp vs. Ant-Man, Atom, Incredible Hulk, Mr. Terrific, Plastic Man, Rocketeer;$2000
Brooklyn Heights, Brooklyn;Avengers, Cassandra Cain, Incredible Hulk, Tiger, Wasp vs. Black Canary, Doc Savage;$13000
Upper West Side, Manhattan;Hal Jordan vs. Catwoman, Green Arrow, Huntress, Superman, Teenage Mutant Ninja Turtles;$6000
Gramercy Park, Manhattan;Captain America, Guardians of the Galaxy, Speedy, Tiger, X-Men vs. Ant-Man, Catwoman, Elektra, Zatanna;$17000
Lenox Hill, Manhattan;Iron Fist vs. Agent Liberty, Damian Wayne, Green Arrow, Green Lantern, Starfire, Sub-Mariner, Wonder Woman, Zatanna;$12000
Park Slope, Brooklyn;Captain Marvel, Guardians of the Galaxy, Raven vs. Agent Liberty, Atom, Avengers, Batman, Captain America, Iron Fist, Jericho, Jonah Hex, Kate Spencer, Lagoon Boy, Teenage Mutant Ninja Turtles, Vixen;$11000
Hell's Kitchen, Manhattan;Agent Liberty, Ant-Man, Beast Boy, Black Canary, Blue Beetle, Catwoman, Gangbuster, Incredible Hulk, Iron Fist, Iron Man, Nite Owl II, Rocketeer, Teenage Mutant Ninja Turtles, Tiger vs. Captain America;$14000
Castle Hill, Bronx;Cyborg, Green Arrow vs. Agent Liberty, Ant-Man, Black Panther, Calendar Man, Rocketeer, Zatanna;$0
Greenpoint, Brooklyn;Asterix, Avengers, Elektra, Mas y Menos, Poison Ivy, Robin, Wonder Woman, X-Men vs. Booster Gold;$1000
Flushing, Queens;Agent Liberty, Huntress, Marvelman, Sub-Mariner, Zatara vs. Ant-Man, Batgirl, Batman, Black Canary, Booster Gold, Defenders;$31000
Flatbush, Brooklyn;Aztec, Bruce Wayne, Rocketeer, Superman, Wolverine, X-Men vs. Cyborg, Iron Man, Speedy, Teenage Mutant Ninja Turtles;$8000
Little Italy, Manhattan;Ant-Man, Owlwoman, Ozymandias, Rocketeer vs. Katana;$1000
Washington Heights, Manhattan;Batman, Guardians of the Galaxy, Iron Fist, Starfire, Sub-Mariner, Teenage Mutant Ninja Turtles vs. Avengers, Kid Flash, Poison Ivy;$3000
Jamaica, Queens;Ant-Man, Black Canary, Nightwing vs. Power Girl, Sub-Mariner;$2000
Crown Heights, Brooklyn;Kate Spencer, Mary Marvel vs. Rocketeer;$2000
Brooklyn Heights, Brooklyn;Green Arrow, Hellboy, Marvelman vs. Vigilante;$6000
Morningside Heights, Manhattan;Asterix, Conan the Barbarian, Iron Man, Zatanna vs. Batgirl, Batman, Metamorpho, Teenage Mutant Ninja Turtles;$8000
Harlem, Manhattan;Atom, Captain Marvel, Iron Fist, Plastic Man, Raven, Robin, Rocketeer, Supergirl, Zatanna vs. Zatara;$2000
East Harlem, Manhattan;Bruce Wayne, Hal Jordan vs. Ant-Man;$0
Brooklyn Heights, Brooklyn;Shadow vs. Captain America, Zatara;$3000
Roosevelt Island, Manhattan;Batman, Poison Ivy, Rorschach vs. Animal Man, Damian Wayne, Hawkeye, Superman, Zatara;$0
Crown Heights, Brooklyn;Avengers, Batwoman, Captain America, Conan the Barbarian, Doc Savage vs. Catwoman, Krypta;$16000
Nolita, Manhattan;Avengers vs. Batman, Incredible Hulk, Kate Spencer;$6000
Gramercy Park, Manhattan;Zatanna vs. Beast Boy, Fire, Iron Fist, Lagoon Boy, Rocketeer, Wasp;$17000
Meatpacking District, Manhattan;Black Canary vs. Constantin;$2000
Hell's Kitchen, Manhattan;Iron Man vs. Conan the Barbarian, Defenders, Elektra, Huntress, Mr. Terrific, Plastic Man;$3000
Little Italy, Manhattan;Ant-Man, Raven, Vixen, Watchmen vs. Kid Flash;$11000
Meatpacking District, Manhattan;Ant-Man, Asterix, Atom, Green Arrow, Lagoon Boy, Orin vs. Daredevil;$2000
Long Island City, Queens;Aztec, Black Panther, Iron Fist, Kate Spencer, Mary Marvel, Supergirl, Superman vs. Hank Hall, Kid Flash, Orin;$2000
Morningside Heights, Manhattan;Agent Liberty, Huntress, Iron Man, Jonah Hex, Kid Flash, Owlwoman, Wasp vs. Avengers, Black Panther, Defenders, Green Lantern, Superman;$5000
Roosevelt Island, Manhattan;Metamorpho vs. Bruce Wayne, Hank Hall, Poison Ivy;$3000
Greenwich Village, Manhattan;Agent Liberty, Animal Man, Avengers, Daredevil, Elektra, Green Arrow, Hawkeye, Spider-Man, Wildcat vs. Ant-Man, Black Canary, Guardians of the Galaxy, Star-Spangled Kid;$7000
Park Slope, Brooklyn;Black Panther, Teenage Mutant Ninja Turtles vs. Calendar Man, Cassandra Cain, Daredevil, Doc Savage, Green Lantern, Ice, Iron Man;$11000
Tribeca, Manhattan;Katana vs. Bruce Wayne, Supergirl;$2000
Jackson Heights, Queens;Captain Marvel, Marvelman vs. Batman, Firestorm, Huntress, Iron Fist, Kamandi;$16000
Little Italy, Manhattan;Wonder Woman vs. Animal Man, Kamandi, Spider-Man;$5000
Meatpacking District, Manhattan;Agent Liberty, Elektra, Incredible Hulk, Poison Ivy vs. Batman, Zatara;$4000
Little Italy, Manhattan;Captain Marvel vs. Aquaman, Atom, Batman, Bruce Wayne, Defenders, Gangbuster, Gypsy, Kamandi, Kate Spencer, Poison Ivy, Robin, Shadow, Spider-Man, Starfire, Supergirl, Superman, Tiger, Vixen, Watchmen, Zatara;$14000
Washington Heights, Manhattan;Defenders, Impulse vs. Avengers, Batgirl, Daredevil, Hal Jordan, Incredible Hulk, Jericho, Stephanie Brown, Tim Drake;$8000
Koreatown, Manhattan;Avengers, Captain America, Vixen vs. Superman;$1000
Brooklyn Heights, Brooklyn;Green Arrow vs. Captain America;$0
Midtown, Manhattan;Aquaman vs. Black Canary;$1000
Greenwich Village, Manhattan;Atom, Zatara vs. Black Canary, Black Panther, Metamorpho, Mr. Terrific, Shining Knight;$0
Flatiron District, Manhattan;Agent Liberty, Batgirl, Huntress, Orin, Spider-Man, Teenage Mutant Ninja Turtles vs. Avengers, Carol Danvers, Rocket Red, Zatara;$9000
Roosevelt Island, Manhattan;Animal Man, Black Canary, Bronze Tiger, Captain Marvel, Elektra, Guardians of the Galaxy, Wasp vs. Aquaman, Mr. Terrific, Ozymandias, Starfire;$36000
Castle Hill, Bronx;Avengers, Beast Boy, Captain America, Ghost Rider, Iron Man, Kamandi, Marvelman, Ozymandias, Raven, Teenage Mutant Ninja Turtles, Zatanna vs. Incredible Hulk, Plastic Man, Zatara;$14000
Astoria, Queens;Artemis, Asterix, Avengers, Bruce Wayne, Defenders, Orin, Ridder, Supergirl, Tiger vs. Mas y Menos;$12000
Koreatown, Manhattan;Incredible Hulk, Iron Man vs. Batwoman, Doc Savage, Orin;$1000
Nolita, Manhattan;Aquaman, Incredible Hulk, Orin vs. Elektra, Guardians of the Galaxy, Nightwing, Spider-Man, Zatanna;$4000
Roosevelt Island, Manhattan;Black Canary vs. Gypsy, Iron Fist, Krypta, Plastic Man, Wolverine;$1000
Little Italy, Manhattan;Ghost Rider, Karate Kid, Marvelman, Wasp vs. Robin;$3000
Brooklyn Heights, Brooklyn;Cassandra Cain, Hawkeye, Teenage Mutant Ninja Turtles vs. Doc Savage, Plastic Man, Raven;$0
Crown Heights, Brooklyn;Asterix, Black Panther, Daredevil, Ghost Rider, Marvelman, Robin, Rocket Red vs. Kate Spencer;$5000
Morningside Heights, Manhattan;Avengers, Batwoman, Catwoman, Guardians of the Galaxy, Hawkeye, Iron Man, Poison Ivy, Sub-Mariner vs. Aquaman, Judomaster, Rocketeer, Superman, Zatanna;$2000
Greenpoint, Brooklyn;Ghost Rider, Jonah Hex, Karate Kid, Phantom Lady, Superman, X-Men vs. Defenders, Wolverine;$1000
Upper West Side, Manhattan;Doc Savage, Superman vs. Ant-Man, Atom, Avengers, Batman, Captain Metropolis, Guardians of the Galaxy, Incredible Hulk, Lagoon Boy;$0
Sunset Park, Brooklyn;Karate Kid, Metamorpho vs. Daredevil;$4000
Greenpoint, Brooklyn;Conan the Barbarian, Hawkeye, Ridder, Robin vs. Asterix, Iron Fist, Kid Flash, Owlman, Owlwoman, S.T.R.I.P.E., Stephanie Brown, Sub-Mariner, Zatara;$12000
Chinatown, Manhattan;Batman, Captain America, Daredevil, Hawkeye vs. Agent Liberty, Avengers, Aztec, Batwoman, Sub-Mariner, Teenage Mutant Ninja Turtles;$3000
Washington Heights, Manhattan;Elektra, Rorschach, Stephanie Brown vs. Cyborg;$0
Nolita, Manhattan;Conan the Barbarian, Plastic Man vs. Batgirl, Zatara;$1000
Meatpacking District, Manhattan;Asterix, Rocketeer, Wonder Woman, X-Men, Zatanna vs. Animal Man, Captain Metropolis;$16000
Coney Island, Brooklyn;Ghost Rider, Hal Jordan, Orin, S.T.R.I.P.E. vs. Zatara;$4000
East Village, Manhattan;Guardians of the Galaxy vs. Avengers, Cassandra Cain, Incredible Hulk;$1000
Little Italy, Manhattan;Beast Boy, Power Girl, Robin vs. Defenders, Impulse, Marvelman, Phantom Lady;$2000
Lenox Hill, Manhattan;Elektra, Rocketeer vs. Atom Smasher, Incredible Hulk, Katana, Robin;$3000
Pelham Gardens, Bronx;Green Lantern vs. Marvelman, Watchmen;$1000
Castle Hill, Bronx;Elektra, Spider-Man, Zatanna vs. Watchmen, Wolverine;$2000
Meatpacking District, Manhattan;Teenage Mutant Ninja Turtles, Zatanna vs. Asterix, Black Panther;$0
Roosevelt Island, Manhattan;Captain Metropolis, Hal Jordan vs. Asterix, Daredevil, Green Arrow, Raven;$6000
Lenox Hill, Manhattan;Batwoman vs. Captain Metropolis, Green Lantern, Incredible Hulk, Iron Man, Mas y Menos, Poison Ivy, Shadow, Teenage Mutant Ninja Turtles, Wasp;$2000
Flatbush, Brooklyn;Asterix, Judomaster, Orin, V, Zatara vs. Agent Liberty, Bruce Wayne, Conan the Barbarian, Defenders, Impulse, Incredible Hulk, Lagoon Boy, Raven, Shining Knight, Superman, Wolverine, Zatanna;$5000
Crown Heights, Brooklyn;Catwoman vs. Silk Spectre;$1000
Greenpoint, Brooklyn;Batman, Cassandra Cain, Cyborg, Robin, Superman, Tim Drake vs. Judomaster, Spider-Man, Zatanna;$8000
Downtown Brooklyn, Brooklyn;Incredible Hulk, Orin vs. Conan the Barbarian, Supergirl;$0
Washington Heights, Manhattan;Daredevil, Rocket Red, S.T.R.I.P.E., Star-Spangled Kid vs. Green Lantern;$3000
Belmont, Bronx;Asterix, Bruce Wayne, Ghost Rider vs. Wonder Girl;$4000
