Location;Participants;Cost
Subterrel, Manhattan;Admiral Gial Ackbar, Ciena Ree, Lieutenant Watts, Nute Gunray, Padmé Amidala, Salacious B. Crumb vs. Dengar;$2000
Nal Hutta, The Empire;Aurra Sing, Gardulla the Hutt, Watchmen vs. Avengers, Chirrut Îmwe, Rogue Squadron, Sinjir Rath Velus;$6000
Kashyyyk, The Empire;Joph Seastriker, Tarfful vs. Commander Fil, Dexter Jettster, Moff Tiaan Jerjerrod, Sifo-Dyas;$10000
Yavin, Manhattan;Doctor Aphra vs. Moff Tiaan Jerjerrod;$0
Hosnian Prime, The Empire;Ebe E. Endocott, Moff Tiaan Jerjerrod vs. Barada, Ona Nobis;$0
Alderaan, Rebel Alliance;Admiral Conan Antonio Motti, Alton Kastle, Eli Vanto, Moradmin Bast, San Hill, Thor vs. Captain Lorth Needa, Cordé, Has Obbit, Nahdar Vebb;$17000
Onderon, Manhattan;Luke Skywalker, Luminara Unduli, Rey vs. Che Amanwe Papanoida, Darth Plagueis, San Hill;$7000
Naboo, The Empire;Eneb Ray, Jas Emari, Leia Organa, Rorschach, Sarkli, TC-14 vs. Captain Rex;$24000
Dathomir, Rebel Alliance;Avengers, Wolverine, Ziro the Hutt vs. Jom Barell;$3000
Kashyyyk, The Empire;Bodhi Rook, Ebe E. Endocott, Krayn, Oola vs. Dormé, Ketsu Onyo, Lux Bonteri, Riff Tamson;$6000
Endor, Rebel Alliance;4-LOM, Cassian Andor, Warok vs. Obi-Wan Kenobi;$4000
Alderaan, Rebel Alliance;Greeata Jendowanian vs. Brendol Hux;$1000
Hell's Kitchen, Manhattan;2-1B, Admiral Firmus Piett, BB-8, Cassian Andor, Ciena Ree, Cliegg Lars, Commander Fil, Lobot, Mawhonic, Palpatine, Po Nudo Paul, Rogue Squadron, San Hill vs. Ziro the Hutt;$9000
Kashyyyk, The Empire;San Hill vs. Chirrut Îmwe, Han Solo, Leia Organa, Wedge Antilles;$5000
Kashyyyk, The Empire;Admiral Conan Antonio Motti, Iron Man, Leia Organa, The Bendu vs. Lux Bonteri;$3000
Kashyyyk, The Empire;Admiral Gial Ackbar vs. Baze Malbus, Bo-Katan Kryze, Cassian Andor, Jango Fett, Nahdar Vebb, R2-KT;$4000
Jedha, The Empire;4-LOM vs. Iron Man;$8000
Tatooine, Manhattan;Admiral Conan Antonio Motti, Cliegg Lars, Dormé, Quarrie, R2-KT, Rukh vs. Ona Nobis, Rogue Squadron;$8000
Concord Dawn, Rebel Alliance;X-Men vs. Inquisitors, Moff Tiaan Jerjerrod, Po Nudo Paul, Queen Miraj Scintel, Shaak Ti;$0
Dagobah, Rebel Alliance;R2-KT vs. Wicket W. Warrick;$1000
Kashyyyk, The Empire;Agen Kolar, Iron Man, Leia Organa, San Hill, Savage Opress vs. General Maximilian Veers, Jom Barell, Lieutenant Watts, Malé-Dee, Mother Talzin, Wolverine;$6000
Kashyyyk, The Empire;Che Amanwe Papanoida, Ellé, Onaconda Farr, Orson Krennic vs. Luke Skywalker, TC-14;$3000
Nal Hutta, The Empire;Avengers vs. 2-1B;$1000
Nal Hutta, The Empire;Chirrut Îmwe, Padmé Amidala vs. Agent Kallus, Commander Wolffe, Luke Skywalker;$10000
Kashyyyk, The Empire;Watchmen vs. Thor;$1000
Bespin, Rebel Alliance;RA-7 vs. Borvo the Hutt, Luminara Unduli;$2000
Kashyyyk, The Empire;Lieutenant Watts, Rae Sloane vs. Barada, Ciena Ree;$6000
Onderon, Manhattan;Aayla Secura vs. Watto;$1000
Kashyyyk, The Empire;Alton Kastle, Black Krrsantan, Finis Valorum, Han Solo, Hondo Ohnaka, Moralo Eval, Queen Breha Organa, Rorschach, Sana Starros, Wullf Yularen vs. Qui-Gon Jinn;$9000
Yavin, Manhattan;Adi Gallia, Admiral Gial Ackbar, Admiral Kendal Ozzel, Avengers, Captain Phasma, Dormé, Pong Krell, R2-D2, Shaak Ti, Wuher vs. Wedge Antilles;$9000
Kamino, The Empire;Dormé, Ezra Bridger, Garindan, Han Solo, Jobal Naberrie, Mawhonic, Rorschach, Wolverine vs. Lux Bonteri, Watchmen;$21000
Kashyyyk, The Empire;Oola vs. Cordé, Darth Plagueis, Ebe E. Endocott, Grand Inquisitor, Hevy, Klaatu, Max Rebo, Niima the Hutt, Ona Nobis, R2-D2, Wolverine;$0
Mon Cala, The Empire;Dormé, Rogue Squadron, Shu Mai vs. Chief Chirpa, Quinlan Vos;$1000
Alderaan, Rebel Alliance;8D8, Captain Roos Tarpals, Salacious B. Crumb, Sora Bulq vs. Lieutenant Watts;$10000
Hosnian Prime, The Empire;Black Krrsantan, Embo, General Crix Madine, Grand Moff Wilhuff Tarkin, Lieutenant Watts vs. Kylo Ren, Oola;$19000
Hosnian Prime, The Empire;Admiral Firmus Piett, Count Dooku, Moteé, Wicket W. Warrick vs. Mawhonic;$1000
Kashyyyk, The Empire;Teedo vs. Che Amanwe Papanoida, Mina Bonteri;$5000
Dathomir, Rebel Alliance;Asajj Ventress, Avengers, Captain Phasma, Commander Bly, Gardulla the Hutt, Grand Moff Wilhuff Tarkin, Leia Organa, Moteé, Rey vs. Greer Sonnel;$10000
Hell's Kitchen, Manhattan;Admiral Conan Antonio Motti, Baze Malbus, Chief Chirpa, Cordé, Dexter Jettster, Lando Calrissian, R2-D2, Ryoo Naberrie, Yané vs. R5-D4;$7000
Tatooine, Manhattan;8D8, Chirrut Îmwe vs. Yarael Poof;$2000
Mustafar, The Empire;Luminara Unduli, Morley, Romba, Wolverine vs. Malakili, Snaggletooth;$15000
Concord Dawn, Rebel Alliance;Ahsoka Tano, BB-8 vs. Anakin Skywalker, Quarrie;$2000
Nal Hutta, The Empire;Borvo the Hutt vs. Romba;$2000
Mon Cala, The Empire;Clone 99, Quarrie vs. 4-LOM, Captain Jeremoch Colton, Count Dooku, Has Obbit, Kylo Ren, Moff Delian Mors, Moteé, Obi-Wan Kenobi, Paploo, Raymus Antilles, Sola Naberrie;$48000
Mandalore, The Empire;Arvel Crynyd, Black Krrsantan, Boba Fett, Han Solo, Kaydel Ko Connix, Niima the Hutt, Orson Krennic, Pong Krell, R2-D2, Rappertunie, Wolverine vs. X-Men;$16000
Scarif, Manhattan;Yarael Poof vs. Amee, Echuu Shen-Jon, R2-KT;$4000
Concord Dawn, Rebel Alliance;Oola vs. Romba;$4000
Yavin, Manhattan;Dormé vs. Rey, X-Men;$4000
Jedha, The Empire;Avengers, Joph Seastriker, Qui-Gon Jinn vs. Dormé, Joclad Danva, Moff Tiaan Jerjerrod, Quinlan Vos;$9000
Kashyyyk, The Empire;Rogue Squadron vs. General Crix Madine, Lama Su;$1000
Geonosis, The Empire;Barada, Bo-Katan Kryze, Che Amanwe Papanoida, Ciena Ree, Ona Nobis vs. Ebe E. Endocott, Huyang, Watto;$1000
Scarif, Manhattan;IG-88, Rey vs. Obi-Wan Kenobi;$2000
Kashyyyk, The Empire;Black Krrsantan, Kylo Ren, Meena Tills, Momaw Nadon vs. Lieutenant Thire;$9000
Hosnian Prime, The Empire;Finn, R2-KT vs. Embo, Longo Two-Guns, Lux Bonteri, Moff Tiaan Jerjerrod, Orson Krennic, Poe Dameron;$14000
Kashyyyk, The Empire;Commander Bly, Finn, Obi-Wan Kenobi, Watchmen vs. Darth Bane;$0
Hosnian Prime, The Empire;Moff Delian Mors vs. Avengers;$0
Onderon, Manhattan;Sora Bulq vs. Jobal Naberrie;$1000
Geonosis, The Empire;Rey, San Hill vs. Aiolin and Morit Astarte;$3000
Hosnian Prime, The Empire;Admiral Gial Ackbar, Ima-Gun Di, Luke Skywalker vs. Rae Sloane, Ric Olié;$3000
Umbara, Manhattan;4-LOM, Grand Moff Wilhuff Tarkin, Orson Krennic, Quarrie vs. Wat Tambor;$1000
Concord Dawn, Rebel Alliance;Ahri Raas, Han Solo, San Hill vs. Admiral Gial Ackbar, Queen Breha Organa, Shara Bey, Yoda;$5000
Scarif, Manhattan;Ezra Bridger, Saw Gerrera vs. Sly Moore;$3000
Umbara, Manhattan;Avengers, Captain Phasma, Darth Maul, Finis Valorum, Lieutenant Watts, Lyra Erso, Rune Haako, Sergeant Kreel, Sinjir Rath Velus vs. Alton Kastle, RA-7, Rae Sloane, Shaak Ti;$9000
Jedha, The Empire;Greer Sonnel vs. Jyn Erso, Osi Sobeck;$6000
Bespin, Rebel Alliance;Amee, Jom Barell, R2-Q5 vs. Rorschach;$0
Bespin, Rebel Alliance;Nute Gunray vs. Joclad Danva;$1000
Geonosis, The Empire;Ahri Raas, Finn, Iron Man, Jom Barell, K-2SO, Lieutenant Watts, Pong Krell, RA-7, Rorschach, Royal Guard, Sergeant Kreel, Tikkes, Wolverine, X-Men vs. Armitage Hux, Han Solo, San Hill, Watchmen;$6000
Kamino, The Empire;Eneb Ray, Lux Bonteri vs. Zuckuss;$7000
Concord Dawn, Rebel Alliance;Cliegg Lars, Moff Delian Mors, San Hill vs. Jas Emari, Max Rebo;$7000
Concord Dawn, Rebel Alliance;0-0-0, Captain Phasma, Embo, R5-D4, Sola Naberrie vs. Iron Man;$2000
Hell's Kitchen, Manhattan;2-1B vs. Borvo the Hutt, Luke Skywalker;$0
Concord Dawn, Rebel Alliance;Hondo Ohnaka vs. BB-8;$0
Nal Hutta, The Empire;BB-8, Wolverine vs. Black Krrsantan, Bodhi Rook, Captain Jeremoch Colton, Darth Maul, Ebe E. Endocott, Has Obbit;$7000
Kamino, The Empire;Barada, Bodhi Rook, General Maximilian Veers, Joclad Danva, Kanan Jarrus, Kylo Ren, Leia Organa, Luke Skywalker, Luminara Unduli, Malakili, Malé-Dee, Momaw Nadon, Nute Gunray, Padmé Amidala, Paploo, Queen Breha Organa, Ree-Yees, Rorschach, Shaak Ti, Watchmen, Watto, X-Men, Yoda vs. Berch Teller, R2-D2;$23000
Onderon, Manhattan;Jango Fett vs. Leia Organa, Wat Tambor, Watchmen;$1000
Mustafar, The Empire;Taun We vs. Rey;$1000
Jedha, The Empire;Avengers vs. Jobal Naberrie, X-Men;$9000
Yavin, Manhattan;Chirrut Îmwe, Jobal Naberrie vs. Aiolin and Morit Astarte, Cassian Andor, Greedo, Po Nudo Paul, Sergeant Kreel;$1000
Jedha, The Empire;Bodhi Rook, Teebo, X-Men vs. Beru Whitesun Lars, Yané;$3000
Concord Dawn, Rebel Alliance;2-1B, Baze Malbus, Chirrut Îmwe, Gardulla the Hutt, Jobal Naberrie, Karina the Great, Max Rebo, Nahdonnis Praji, Orson Krennic, Padmé Amidala, Ponda Baba, Rorschach, Savage Opress, Teedo, Watchmen, Watto, Wedge Antilles vs. AP-5, Agent Kallus, Leia Organa, Moralo Eval, Plo Koon;$12000
Onderon, Manhattan;Maz Kanata vs. Borvo the Hutt, Orrimaarko;$4000
Yavin, Manhattan;Mama the Hutt vs. Amee, Boba Fett, Moteé, Oola, Orson Krennic, Watchmen;$1000
Dathomir, Rebel Alliance;Morley, R2-D2, Shu Mai, Teedo vs. Commander Wolffe, Huyang;$1000
Bespin, Rebel Alliance;Quarrie vs. Admiral Trench, Beru Whitesun Lars, General Maximilian Veers, Meena Tills, Momaw Nadon, San Hill;$7000
Yavin, Manhattan;0-0-0, Admiral Gial Ackbar, San Hill, Wullf Yularen vs. Moff Tiaan Jerjerrod;$2000
Yavin, Manhattan;Baze Malbus, Borvo the Hutt, Dexter Jettster, Doctor Cornelius, General Crix Madine, Ransolm Casterfo, Sora Bulq vs. Anakin Skywalker, Darth Bane, Gonk droid, Luke Skywalker, Orson Krennic, Padmé Amidala, Salacious B. Crumb;$2000
Corellia, Rebel Alliance;Admiral Firmus Piett, Cad Bane, Moff Delian Mors, Moff Tiaan Jerjerrod, Nute Gunray, Rogue Squadron vs. BB-8;$9000
Dantooine, Rebel Alliance;4-LOM, Jas Emari, Longo Two-Guns vs. Rey;$6000
Kashyyyk, The Empire;Plo Koon, Ponda Baba, Rako Hardeen, Thor vs. Boss Rugor Nass, Ezra Bridger, Joclad Danva, San Hill;$4000
Kashyyyk, The Empire;Arvel Crynyd, Korr Sella, Mina Bonteri vs. Avengers, Cad Bane, FN-2199;$2000
Dantooine, Rebel Alliance;Commander Fil, Rae Sloane, Shara Bey vs. Dormé;$2000
Endor, Rebel Alliance;Luminara Unduli vs. Gardulla the Hutt, Queen Miraj Scintel, Sora Bulq, Ziro the Hutt, Zuckuss;$17000
Kashyyyk, The Empire;Lumat vs. FX-7, Inquisitors, Iron Man, Romba, Wedge Antilles;$4000
Concord Dawn, Rebel Alliance;Sinjir Rath Velus vs. Baze Malbus;$1000
Hosnian Prime, The Empire;Lieutenant Watts, Pablo-Jill vs. Nien Nunb;$6000
Mustafar, The Empire;Obi-Wan Kenobi vs. Doctor Aphra, General Maximilian Veers, Longo Two-Guns;$6000
Subterrel, Manhattan;Commander Fox vs. Baze Malbus, Bodhi Rook, Krayn, Malakili, Moralo Eval, Rey;$17000
Jedha, The Empire;Mace Windu vs. R2-D2;$2000
Nal Hutta, The Empire;Rukh vs. Amee, Padmé Amidala, Sergeant Kreel, Teedo, Watchmen, X-Men;$3000
Alderaan, Rebel Alliance;Lando Calrissian, Onaconda Farr, Ponda Baba, Queen Miraj Scintel vs. Arvel Crynyd;$11000
Kashyyyk, The Empire;Aiolin and Morit Astarte, Inspector Thanoth, Lumat, Luminara Unduli, Sana Starros, WAC-47 vs. Shaak Ti;$8000
Concord Dawn, Rebel Alliance;Sinjir Rath Velus vs. Quinlan Vos, R5-D4, Romba;$1000
Sullust, Manhattan;Admiral Terrinald Screed vs. Tessek;$2000
Umbara, Manhattan;C-3PO, Darth Maul, Iden Versio, Krayn, Lux Bonteri, R4-G9, Supreme Leader Snoke vs. Count Dooku, Depa Billaba, Dr. Nuvo Vindi, Feral, Jar Jar Binks;$5000
Onderon, Manhattan;Chewbacca, Finn, Jan Dodonna, Kylo Ren, Wedge Antilles vs. Barada;$4000
Hoth, The Empire;Arvel Crynyd, Barada, Baze Malbus, Captain Lorth Needa, Jobal Naberrie, Kylo Ren, R4-P17, Romba, Wat Tambor vs. Luminara Unduli, Oola, R2-KT, Rorschach;$7000
Hosnian Prime, The Empire;Chirrut Îmwe, Thor vs. Avengers, Bazine Netal, Black Krrsantan, Jango Fett, K-2SO, Padmé Amidala, Shaak Ti;$17000
Hosnian Prime, The Empire;Ahri Raas vs. Bo-Katan Kryze, Bren Derlin, Ona Nobis, Raymus Antilles, Sarkli;$7000
Kashyyyk, The Empire;Agen Kolar, Gardulla the Hutt, Lumat, Watchmen vs. Obi-Wan Kenobi, Wolverine;$12000
Scarif, Manhattan;Admiral Firmus Piett, Grand Moff Wilhuff Tarkin, Has Obbit, Mercurial Swift, Ree-Yees, Wat Tambor vs. Luminara Unduli;$7000
Concord Dawn, Rebel Alliance;Avengers, Baze Malbus, Garindan, Moff Tiaan Jerjerrod, Onaconda Farr, Oola, Rorschach, Saelt-Marae, Shmi Skywalker, Sora Bulq vs. Admiral Gial Ackbar, Kylo Ren, Morley, Ona Nobis, R3-S6, U9-C4, Wedge Antilles;$21000
Mandalore, The Empire;Jango Fett, Taun We vs. Mama the Hutt;$3000
Endor, Rebel Alliance;Oola, Palpatine, Shu Mai vs. Beru Whitesun Lars, Gungi, Rorschach;$7000
Dathomir, Rebel Alliance;Avengers, Bazine Netal, Chirrut Îmwe, Count Dooku, Jobal Naberrie, Moteé, Romba, Royal Guard, Watchmen, X-Men vs. Gonk droid, Jan Dodonna, Nahdar Vebb, Quinlan Vos, Tion Medon, Tulon Voidgazer;$17000
Bespin, Rebel Alliance;Captain Lorth Needa, Garindan, Iron Man, Jabba the Hutt, Moteé, Zam Wesell vs. Admiral Conan Antonio Motti;$17000
Alderaan, Rebel Alliance;Leia Organa vs. Joclad Danva, Palpatine, Salacious B. Crumb, Wuher;$9000
Onderon, Manhattan;Po Nudo Paul, Rogue Squadron, Watchmen, X-Men vs. 4-LOM, Admiral Conan Antonio Motti, BT-1, Jango Fett, Lando Calrissian, Longo Two-Guns, Lux Bonteri;$17000
Kashyyyk, The Empire;Captain Phasma, San Hill vs. Chief Chirpa, Rey;$6000
Naboo, The Empire;Black Krrsantan, Captain Jeremoch Colton, Iron Man, Rorschach, Taun We vs. Alton Kastle;$7000
Sullust, Manhattan;Nute Gunray vs. Eirtaé, Klaatu, Leia Organa, Salacious B. Crumb;$4000
Onderon, Manhattan;Admiral Conan Antonio Motti, Finn, Lieutenant Thire, Palpatine, R2-KT, Rogue Squadron, Tarfful, Wittin, Wolverine vs. Daultay Dofine;$10000
Nal Hutta, The Empire;Queen Miraj Scintel, R2-D2, Ree-Yees, Saelt-Marae vs. Commander Fil;$1000
Kashyyyk, The Empire;Chief Chirpa, Luke Skywalker, R2-D2 vs. Bodhi Rook, Longo Two-Guns, Sora Bulq, Wat Tambor, Watchmen;$8000
Subterrel, Manhattan;Admiral Conan Antonio Motti, Commander Bly, Grand Inquisitor, Mina Bonteri, Thor vs. Rorschach;$3000
Scarif, Manhattan;Barada vs. Longo Two-Guns, Ree-Yees, Romba;$2000
Alderaan, Rebel Alliance;Gungi, Orson Krennic, Po Nudo Paul vs. Luke Skywalker, Ruwee Naberrie, San Hill;$0
Bespin, Rebel Alliance;Hera Syndulla vs. Boba Fett, Cassian Andor;$1000
Kamino, The Empire;Admiral Gial Ackbar, Agen Kolar, Aiolin and Morit Astarte, Avengers, Baze Malbus, Bodhi Rook, Boss Rugor Nass, Gardulla the Hutt, Garrick Versio, Jango Fett, Kylo Ren, Lama Su, Max Rebo, Mother Talzin, R2-D2, Rorschach, Sana Starros, Thane Kyrell, Wat Tambor, Wolverine vs. Bren Derlin, FX-7, Jar Jar Binks, Moff Tiaan Jerjerrod, Queen Breha Organa, San Hill, Wuher;$11000
Yavin, Manhattan;Beru Whitesun Lars, Lando Calrissian, Rey vs. Luke Skywalker, Orson Krennic, Sy Snootles;$0
Jedha, The Empire;Kaydel Ko Connix, Mother Talzin, Ody Mandrell, Rey, Salacious B. Crumb vs. Commander Bly, Leia Organa, Morley, Orson Krennic, Pong Krell, Shara Bey;$13000
Hell's Kitchen, Manhattan;Greedo, Jobal Naberrie, Krayn, Queen Miraj Scintel vs. Agen Kolar, Ben Quadinaros, Embo, Iron Man, K-2SO, Leia Organa, Lieutenant Watts, R4-G9, Ree-Yees;$7000
Yavin, Manhattan;Avengers, Jyn Erso, Kylo Ren, Leia Organa, Rey, Tion Medon, Wolverine vs. Cordé;$3000
Kamino, The Empire;Captain Phasma vs. Black Krrsantan, Chirrut Îmwe, Finn, Malé-Dee, Obi-Wan Kenobi;$4000
Concord Dawn, Rebel Alliance;Cordé, Count Dooku, Quarrie, Wullf Yularen vs. Salacious B. Crumb;$2000
Geonosis, The Empire;Alton Kastle, Lando Calrissian vs. Avengers, Chirrut Îmwe, Cordé, Hera Syndulla, Rey;$8000
Jedha, The Empire;Ona Nobis, Sifo-Dyas vs. Darth Maul, Jas Emari, Thane Kyrell;$3000
Hell's Kitchen, Manhattan;Darth Maul, Luke Skywalker, Mace Windu, Yoda vs. Embo, Po Nudo Paul, Sora Bulq;$10000
Sullust, Manhattan;Depa Billaba, Ima-Gun Di, Savage Opress vs. Tarfful, Watchmen;$0
Mustafar, The Empire;Oola, Paploo, Quinlan Vos, Savage Opress, Thor, Wolverine vs. Nute Gunray, Saesee Tiin;$8000
Hell's Kitchen, Manhattan;Gardulla the Hutt vs. Longo Two-Guns, Yané;$1000
Kashyyyk, The Empire;C-3PO, Mawhonic, Yané vs. Sarkli, Taun We;$2000
Kamino, The Empire;Alton Kastle, Luminara Unduli vs. Romba, Saw Gerrera;$0
Hosnian Prime, The Empire;General Crix Madine, Jar Jar Binks vs. Asajj Ventress, Bazine Netal, Darth Plagueis, Sifo-Dyas;$6000
Rodia, Manhattan;Paploo vs. 4-LOM, Cassian Andor, Chewbacca, Cordé, Grand Moff Wilhuff Tarkin, Kylo Ren, Luke Skywalker, Obi-Wan Kenobi, Thane Kyrell;$7000
Kashyyyk, The Empire;Aayla Secura, Ima-Gun Di, Po Nudo Paul vs. Alton Kastle, Joh Yowza, Ona Nobis;$6000
Jedha, The Empire;Amee, Cad Bane, Dengar, Grand Moff Wilhuff Tarkin, Joph Seastriker, Kylo Ren, Lok Durd, Luminara Unduli vs. AP-5, Admiral Kendal Ozzel, Bazine Netal, Bodhi Rook, Captain Phasma, Finis Valorum, Gallius Rax, Romba, Yané;$25000
Sullust, Manhattan;Cordé, Iron Man vs. Bazine Netal, Ki-Adi-Mundi;$3000
Onderon, Manhattan;Hera Syndulla vs. Avengers, BB-8, Baze Malbus, Jango Fett, Luminara Unduli, Oola, WAC-47, Zam Wesell;$7000
Sullust, Manhattan;Luminara Unduli vs. Anakin Skywalker, Jan Dodonna;$3000
Mandalore, The Empire;Garindan, Ponda Baba, Sana Starros vs. BB-8, General Grievous, Wittin;$0
Alderaan, Rebel Alliance;Brendol Hux, K-2SO, Mother Talzin, Orson Krennic, Shu Mai vs. Inspector Thanoth;$9000
Tatooine, Manhattan;Nute Gunray, Teedo vs. Count Dooku, Ona Nobis;$0
Geonosis, The Empire;IG-88, Quinlan Vos vs. General Crix Madine, Oppo Rancisis, Poe Dameron, Pooja Naberrie, R2-D2, Romba, Shmi Skywalker, Wullf Yularen;$3000
Tatooine, Manhattan;Gungi vs. Arvel Crynyd, Avengers, Echuu Shen-Jon, Jas Emari, Longo Two-Guns, Moradmin Bast, R2-KT, Rorschach, X-Men;$4000
Onderon, Manhattan;Commander Bly, Obi-Wan Kenobi, Ona Nobis, X-Men vs. Boba Fett, Greedo, Has Obbit, Ransolm Casterfo;$8000
Sullust, Manhattan;Depa Billaba, Meena Tills vs. BB-8, Commander Fil;$1000
Nal Hutta, The Empire;Sebulba, Teedo vs. Jan Dodonna;$5000
Kamino, The Empire;Jom Barell vs. Finn, Ketsu Onyo, Klaatu, Leia Organa, Lieutenant Watts, Malé-Dee, R2-D2, Rae Sloane, Rorschach, San Hill, Warok, Wuher;$0
Mandalore, The Empire;4-LOM, Ahri Raas, Cad Bane, Chewbacca, Chirrut Îmwe, Jobal Naberrie vs. Malakili, Max Rebo, Rorschach, Watchmen;$8000
Endor, Rebel Alliance;Ryoo Naberrie vs. Admiral Conan Antonio Motti, C-3PO, Sifo-Dyas;$2000
Geonosis, The Empire;Gallius Rax, Joclad Danva, Moteé, Nahdar Vebb, Rorschach, Sora Bulq, Watchmen, Wolverine, X-Men vs. Admiral Firmus Piett, Avengers;$10000
Jedha, The Empire;Admiral Gial Ackbar, Arvel Crynyd, Gonk droid, Jar Jar Binks, Joclad Danva, Moteé, Shara Bey, Snaggletooth vs. Boba Fett, C-3PO, Embo, Grand Moff Wilhuff Tarkin, Nien Nunb;$15000
Scarif, Manhattan;Aayla Secura, Bren Derlin, Count Dooku, Dormé, Rorschach, Savage Opress vs. Greedo, Queen Apailana, Ransolm Casterfo, Rogue Squadron, Wolverine, Zuckuss;$17000
Concord Dawn, Rebel Alliance;Malakili, Wolverine vs. Asajj Ventress, Palpatine, R2-D2, Wullf Yularen;$2000
Kashyyyk, The Empire;Feral, Luke Skywalker, Saesee Tiin, X-Men vs. Queen Breha Organa, Unkar Plutt;$3000
Bespin, Rebel Alliance;Captain Lorth Needa, Cliegg Lars, General Crix Madine, Kaydel Ko Connix, Poggle the Lesser, Sinjir Rath Velus vs. Luke Skywalker, Sola Naberrie;$7000
Hosnian Prime, The Empire;Bo-Katan Kryze, Boba Fett, Bren Derlin, Grand Moff Wilhuff Tarkin, Joclad Danva, Queen Breha Organa, R2-KT vs. Captain Phasma;$4000
Alderaan, Rebel Alliance;Ben Quadinaros, Boba Fett, Dr. Nuvo Vindi, Iron Man, X-Men vs. Sana Starros;$8000
Alderaan, Rebel Alliance;Alton Kastle, Chirrut Îmwe, Onaconda Farr, Wedge Antilles vs. Jyn Erso, Ona Nobis;$5000
Scarif, Manhattan;Avengers, Jubnuk, Mawhonic, Rey, Rinnrivin Di, Snaggletooth, Watchmen vs. Agent Kallus, Jan Dodonna, Jango Fett, Pablo-Jill, Wullf Yularen;$9000
Umbara, Manhattan;Jom Barell, Yarael Poof vs. Aurra Sing, Mace Windu, Paploo, R2-D2, Sola Naberrie;$1000
Geonosis, The Empire;2-1B, Avengers, Han Solo, Kanan Jarrus, Quarrie vs. Embo, Greedo, Kylo Ren, Thor;$8000
Concord Dawn, Rebel Alliance;Jas Emari, Leia Organa vs. Cliegg Lars;$1000
Scarif, Manhattan;San Hill vs. Aiolin and Morit Astarte, Clone Trooper Tup, Lieutenant Watts, Orson Krennic, Zam Wesell;$7000
Kashyyyk, The Empire;Niima the Hutt vs. Depa Billaba, Watto;$2000
Kamino, The Empire;Avengers, Saw Gerrera vs. Barriss Offee, Quinlan Vos, R2-D2, Ransolm Casterfo, Sinjir Rath Velus;$10000
Kashyyyk, The Empire;Sifo-Dyas vs. Ezra Bridger, Teedo;$0
Nal Hutta, The Empire;Rorschach vs. Alton Kastle, Aurra Sing, Inquisitor: Seventh Sister, Lumat, Mina Bonteri, Rappertunie, The Bendu, Wedge Antilles;$4000
Endor, Rebel Alliance;FX-7, General Crix Madine, Kanan Jarrus vs. Sana Starros;$5000
Bespin, Rebel Alliance;2-1B, Iron Man, Kaydel Ko Connix vs. Lux Bonteri;$6000
Geonosis, The Empire;Beru Whitesun Lars vs. Aayla Secura, Avengers, Finn, Han Solo, Obi-Wan Kenobi, Ona Nobis, Shmi Skywalker;$19000
Alderaan, Rebel Alliance;Avengers, Ima-Gun Di vs. Shara Bey;$4000
Kashyyyk, The Empire;Amee, King Katuunko, Wolverine vs. Captain Gregor, Commander Fil, General Maximilian Veers, Inquisitors, Kylo Ren, Pagetti Rook, Palpatine, Ric Olié, Rogue Squadron, Sy Snootles;$11000
Kashyyyk, The Empire;Admiral Firmus Piett, Agent Kallus, Barada, Captain Lorth Needa, Chewbacca, Clone Trooper Fives, Gonk droid, Joclad Danva, Poggle the Lesser, Wolverine, Zam Wesell vs. Aayla Secura, Admiral Gial Ackbar, Alton Kastle, Avengers, Ciena Ree, Cordé, Jas Emari, Moralo Eval, Raymus Antilles;$47000
Dathomir, Rebel Alliance;BB-8, Darth Plagueis, Ezra Bridger, General Carlist Rieekan, Leia Organa, Longo Two-Guns, Morley, Obi-Wan Kenobi, Ody Mandrell, Saw Gerrera, Yané vs. Sola Naberrie;$2000
Yavin, Manhattan;Admiral Conan Antonio Motti vs. Captain Phasma;$1000
Hosnian Prime, The Empire;Cordé, Kylo Ren, Obi-Wan Kenobi vs. Chief Chirpa;$3000
Bespin, Rebel Alliance;Ona Nobis, Padmé Amidala, Savage Opress vs. Clone 99, Moff Tiaan Jerjerrod, Royal Guard, Tion Medon;$9000
Kashyyyk, The Empire;Admiral Gial Ackbar, Echuu Shen-Jon, Wat Tambor vs. 2-1B;$4000
Kamino, The Empire;Ahsoka Tano vs. General Maximilian Veers, Rogue Squadron;$1000
Hosnian Prime, The Empire;Chewbacca, Mother Talzin vs. Dormé, Leia Organa, Orson Krennic;$2000
Geonosis, The Empire;Dormé, Longo Two-Guns, Sabine Wren vs. Captain Gregor, Sifo-Dyas;$11000
Onderon, Manhattan;Padmé Amidala, R2-D2 vs. R4-G9;$1000
Jedha, The Empire;Barada, Chirrut Îmwe, Kylo Ren, Po Nudo Paul, San Hill, Wat Tambor vs. Anakin Skywalker, Captain Phasma, Chewbacca, Cordé, Dexter Jettster, Dormé, Joclad Danva, Kaydel Ko Connix, Mawhonic, Pharl McQuarrie, Saché, Watchmen, Wolverine;$81000
Dathomir, Rebel Alliance;Echuu Shen-Jon, Governor Arihnda Pryce, Moteé, Norra Wexley, Paploo, Queen Miraj Scintel, Rinnrivin Di vs. Pharl McQuarrie;$9000
